species,filename,copyrightholder,birdlife_id
Yellow-rumped Thornbill,79f7b4d858c489894cb48c9940c56e50,Stephen Garth 2019 birdlifephotography.org.au,36382
Red Wattlebird,b6ebbeca87a24d85e66ebbaaa22c8ab8,Mark Lethlean 2019 birdlifephotography.org.au,34972
Australasian Pipit,34958-4058750d5fb48773ec7813957f536593,Michael Hamel-Green 2021 birdlifephotography.org.au,46074
Dusky Woodswallow,405a56ca4091275017bdf3d65009223d,Stephen Garth 2017 birdlifephotography.org.au,28034
White-browed Woodswallow,612d0725cbd57bf49ee5c9c37f815889,Glenn Pure 2019 birdlifephotography.org.au,39660
Australian Wood Duck,57e55de38ad914657579fb2c960c8d2d,Stephen Garth 2018 birdlifephotography.org.au,31128
Rufous Songlark,0bf91d8801fc01b57d56ee2a3b98a50a,Stephen Garth 2019 birdlifephotography.org.au,36936
Grey Shrike-thrush,1915b3484fbcb1ba327ae88b02c68584,Jonathan Pridham 2014 birdlifephotography.org.au,19804
Black-faced Cuckoo-shrike,34893-88e9f96a66f1237315782c711c3fde28,Edward Mikucki 2020 birdlifephotography.org.au,42501
Australian Raven,35051-a372cfafd98688344d6ecf5f4d37a9c5,Geoffrey Stapley 2020 birdlifephotography.org.au,44051
Australian Magpie,34958-d2517f1457f61559140efc1efb5c927d,Michael Hamel-Green 2020 birdlifephotography.org.au,42216
Laughing Kookaburra,e2260a946327968d10f1dc2863e73686,Lindsay Hansch 2012 birdlifephotography.org.au,20371
Galah,01bfcebc08515ff6510277eeacee6e31,Woody Woodhouse 2016 birdlifephotography.org.au,20080
Crested Shrike-tit,de50afc2a8ad4f3a47c2f5cc45a2dd72,Stephen Garth 2017 birdlifephotography.org.au,25573
Peaceful Dove,50aa76722cf1005de5040c5976967572,Mark Lethlean 2017 birdlifephotography.org.au,35272
Magpie-lark,3e16a24c513a7c5279e23aa513a9ce7a,Stephen Garth 2016 birdlifephotography.org.au,24935
Welcome Swallow,6dd62349ec12fe5f8db6729017183144,Glenn Pure 2018 birdlifephotography.org.au,35423
White-winged Triller,92cc616886db9b822b9e5fe104efa0ce,John Barkla 2008 birdlifephotography.org.au,2138
Yellow-faced Honeyeater,073b8b49ba4ddf30d92e2a8ba78ec2f2,Stephen Garth 2018 birdlifephotography.org.au,32538
